platform	subject	trial	choice	accuracy
mturk	0k1tzkzdb7dvx6z9q0nyovde	84	0.0785	0.7455
mturk	0k1tzkzdb7dvx6z9q0nyovde	85	0.992	0.0065
mturk	0k1tzkzdb7dvx6z9q0nyovde	86	0.9995	0.0
mturk	0k1tzkzdb7dvx6z9q0nyovde	87	0.999	0.001
mturk	0k1tzkzdb7dvx6z9q0nyovde	88	0.9325	0.053
mturk	0k1tzkzdb7dvx6z9q0nyovde	89	0.4535	0.4535
mturk	0k1tzkzdb7dvx6z9q0nyovde	90	0.9965	0.9965
mturk	0lq9i4x81dgnwglgvgnh34rj	1	0.355	0.355
mturk	0lq9i4x81dgnwglgvgnh34rj	2	0.904	0.904
mturk	0lq9i4x81dgnwglgvgnh34rj	3	0.967	0.967
mturk	0lq9i4x81dgnwglgvgnh34rj	4	0.981	0.981
mturk	0lq9i4x81dgnwglgvgnh34rj	5	0.6405	0.6405
mturk	0lq9i4x81dgnwglgvgnh34rj	6	0.939	0.939
mturk	0lq9i4x81dgnwglgvgnh34rj	7	0.9715	0.9715
mturk	0lq9i4x81dgnwglgvgnh34rj	8	0.6275	0.6275
mturk	0lq9i4x81dgnwglgvgnh34rj	9	0.9375	0.9375
mturk	0lq9i4x81dgnwglgvgnh34rj	10	0.966	0.966
