platform,subject,block,trial,correct,choice,key,rt,accuracy,outcome
mturk,0g4fx9g2wryeio74yzgqwpq8,5,62,0,2.0,39.0,0.269,0.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,5,63,0,2.0,39.0,0.11,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,5,64,0,2.0,39.0,0.22,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,5,65,0,0.0,37.0,0.029,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,5,66,0,0.0,37.0,0.373,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,5,67,0,0.0,37.0,0.181,1.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,5,68,0,0.0,37.0,0.187,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,5,69,0,0.0,37.0,0.07,1.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,5,70,0,0.0,37.0,0.156,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,5,71,0,0.0,37.0,0.181,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,5,72,0,0.0,37.0,0.046,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,5,73,0,0.0,37.0,0.19,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,5,74,0,0.0,37.0,0.214,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,5,75,0,0.0,37.0,0.236,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,6,76,1,0.0,37.0,0.385,0.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,6,77,1,0.0,37.0,0.201,0.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,6,78,1,0.0,37.0,0.229,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,6,79,1,0.0,37.0,0.126,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,6,80,1,1.0,38.0,0.003,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,6,81,1,1.0,38.0,0.205,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,6,82,1,1.0,38.0,0.18,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,6,83,1,1.0,38.0,0.037,1.0,1.0
